Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
36428058,Finding Rest: A Collection of Poetry Written by Kevin Kelly,Kevin Kelly,"Kelly, Kevin",Beth Kallman Werner,"=""""","=""""",0,5.00,,Kindle Edition,127,2017,,,2023/04/28,to-read,to-read (#190),to-read,,,,0,0
48893529,Leading in Turbulent Times (Financial Times Series),Gary Hayes,"Hayes, Gary",Gary Hayes,"=""""","=""""",0,5.00,FT Publishing International,Kindle Edition,192,2012,,,2023/04/28,to-read,to-read (#189),to-read,,,,0,0
43351013,CEO,Kevin Kelly,"Kelly, Kevin",,"=""9898184345""","=""9789898184344""",0,5.00,Bnomics,Paperback,176,,,,2023/04/28,to-read,to-read (#188),to-read,,,,0,0
23583797,1000 true fans,Kevin Kelly,"Kelly, Kevin",,"=""""","=""""",0,4.36,,,,,,,2023/04/28,to-read,to-read (#187),to-read,,,,0,0
10639,The Paradox of Choice: Why More Is Less,Barry Schwartz,"Schwartz, Barry",,"=""0060005696""","=""9780060005696""",0,3.84,Harper Perennial,Paperback,265,2005,2004,,2023/04/22,to-read,to-read (#186),to-read,,,,0,0
99401,The Power of a Positive No: How to Say No and Still Get to Yes,William Ury,"Ury, William",,"=""0553804987""","=""9780553804980""",0,4.01,Bantam,Hardcover,272,2007,2007,,2023/04/22,to-read,to-read (#185),to-read,,,,0,0
857333,The Art of Learning: A Journey in the Pursuit of Excellence,Josh Waitzkin,"Waitzkin, Josh",,"=""0743277457""","=""9780743277457""",0,4.04,Free Press,Hardcover,265,2007,2007,,2023/04/22,to-read,to-read (#184),to-read,,,,0,0
17290683,Love and Math: The Heart of Hidden Reality,Edward Frenkel,"Frenkel, Edward",,"=""0465050743""","=""9780465050741""",0,3.67,Basic Books,Hardcover,292,2013,2013,,2023/04/15,to-read,to-read (#183),to-read,,,,0,0
42448325,Turning the Flywheel: A Monograph to Accompany Good to Great,James C. Collins,"Collins, James C.",,"=""0062933809""","=""9780062933805""",4,4.24,Harper Business,ebook,46,2019,,,2022/11/19,,,read,"A 2-hour listen that made me realize I don’t need to read or listen to “Good to Great.”<br/><br/>This monograph by Jim Collins is worth listening to because it’s not a big-time investment and will let you know if “Good to great” is worth your time - for me, it wasn’t. The monograph is full of interesting examples, but it feels a bit outdated and very few people are in the position of leading companies that are doing “Good” and having trouble how to make them “Great.”<br/><br/>The tl;dr is that the flywheel is inevitable and you have to go with the flow. The next step in the evolution of any company has to be so obvious that it’s inevitable.<br/><br/>Jim talks a lot about what leads to success and outlines different methodologies to get there that I won’t reiterate here. It includes sketching out the flywheel, using the “hedgehog” concepts, but at the end of the day it boils down to: passion, hard work, identifying what you’re best at and determining if that fuels the economic engine.<br/><br/>Some other topics that really resonated with me is how vision with grit is irrelevant. Ultimately this boils down to needing to have a team full of disciplined people, and disciplined people don’t need hierarchy, they need direction and lack of distractions.<br/><br/>Some other ideas/concepts that stood out to me:<br/><br/>- Achieving success without understanding why is worse than failure<br/>- Ask yourself what you would do if you were an outside CEO coming in with a whipped out memory<br/>- Always reevaluate your success and understand why they worked. We have post-mortems but not post-successes.<br/>- Make a company go from good to great is one thing, but make it build to last is a whole different story.<br/>- If you’re organization disappears, would people miss it? That’s how you know you’ve succeeded.<br/>- Nothing listed above matters if you’re not at least a little bit lucky.",,,1,0
18693884,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,"Ellenberg, Jordan",,"=""1594205221""","=""9781594205224""",0,3.96,Penguin Press,Hardcover,480,2014,2014,,2023/04/06,to-read,to-read (#182),to-read,,,,0,0
20527133,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,"Bostrom, Nick",,"=""0199678111""","=""9780199678112""",0,3.86,Oxford University Press,Hardcover,352,2014,2014,,2023/04/04,to-read,to-read (#181),to-read,,,,0,0
44333183,The Unicorn Project,Gene Kim,"Kim, Gene",,"=""1942788762""","=""9781942788768""",0,4.10,IT Revolution Press,Hardcover,352,2019,2019,,2023/04/02,to-read,to-read (#180),to-read,,,,0,0
32830355,Isonomia and the Origins of Philosophy,Kōjin Karatani,"Karatani, Kōjin",Joseph A. Murphy,"=""0822368854""","=""9780822368854""",0,4.24,Duke University Press Books,Hardcover,176,2017,,,2023/03/26,to-read,to-read (#179),to-read,,,,0,0
177068,The Fabric of Reality: The Science of Parallel Universes--and Its Implications,David Deutsch,"Deutsch, David",,"=""014027541X""","=""9780140275414""",0,4.13,Penguin Books,Paperback,390,1998,1996,,2023/03/25,to-read,to-read (#178),to-read,,,,0,0
10483171,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,"=""0670022756""","=""9780670022755""",0,4.18,Viking,Hardcover,487,2011,2011,,2023/03/25,to-read,to-read (#177),to-read,,,,0,0
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,"Collins, James C.",Jim Collins,"=""0066620996""","=""9780066620992""",0,4.14,HarperBusiness,Hardcover,300,2001,2001,,2023/03/19,to-read,to-read (#176),to-read,,,,0,0
408204,"Ideas: A History of Thought and Invention, from Fire to Freud",Peter Watson,"Watson, Peter",,"=""0060935642""","=""9780060935641""",0,4.35,Harper Perennial,Paperback,852,2006,2005,,2023/03/09,to-read,to-read (#175),to-read,,,,0,0
12205694,History of God: A Story of the Beginning of Everything,Guy Steven Needler,"Needler, Guy Steven",,"=""1886940169""","=""9781886940161""",0,4.48,Ozark Mountain Publishing,Paperback,424,2022,2011,,2023/03/09,to-read,to-read (#174),to-read,,,,0,0
179198,Capital Ideas: The Improbable Origins of Modern Wall Street,Peter L. Bernstein,"Bernstein, Peter L.",,"=""0471731749""","=""9780471731740""",0,3.98,Wiley,Paperback,368,2005,1991,,2023/03/09,to-read,to-read (#173),to-read,,,,0,0
70156,Patterns of Enterprise Application Architecture,Martin Fowler,"Fowler, Martin",,"=""0321127420""","=""9780321127426""",0,4.12,Addison-Wesley Professional,Hardcover,533,2002,2002,,2023/03/08,to-read,to-read (#172),to-read,,,,0,0
59383944,"Amp It Up: Leading for Hypergrowth by Raising Expectations, Increasing Urgency, and Elevating Intensity",Frank Slootman,"Slootman, Frank",,"=""1119836409""","=""9781119836407""",0,4.12,Wiley,ebook,208,2022,2022,,2023/03/06,to-read,to-read (#171),to-read,,,,0,0
68449976,"Good Power: Leading Positive Change in Our Lives, Work, and World",Ginni Rometty,"Rometty, Ginni",,"=""1647823226""","=""9781647823221""",0,4.12,Harvard Business Review Press,Hardcover,256,2023,2023,,2023/03/05,to-read,to-read (#170),to-read,,,,0,0
238558,A New Kind of Science,Stephen Wolfram,"Wolfram, Stephen",,"=""1579550088""","=""9781579550080""",0,3.61,Wolfram Media,Hardcover,1264,2002,1997,,2023/02/27,to-read,to-read (#169),to-read,,,,0,0
29437730,The Elon Musk Blog Series: Wait But Why,Tim Urban,"Urban, Tim",,"=""""","=""""",0,4.72,Lioncrest Publishing,Kindle Edition,550,2016,2016,,2023/02/25,to-read,to-read (#168),to-read,,,,0,0
25050194,Wait But Why Year One: We finally figured out how to put a blog onto an e-reader,Tim Urban,"Urban, Tim",,"=""""","=""""",0,4.57,,Kindle Edition,1129,2015,2015,,2023/02/25,to-read,to-read (#167),to-read,,,,0,0
588138,The Hero With a Thousand Faces,Joseph Campbell,"Campbell, Joseph",,"=""0691017840""","=""9780691017846""",0,4.14,Princeton University Press,Paperback,416,1972,1949,,2023/02/19,to-read,to-read (#166),to-read,,,,0,0
12228097,Chimp Paradox: How Our Impulses and Emotions Can Determine Success and Happiness and How We Can Control Them,Steve   Peters,"Peters, Steve",,"=""009193558X""","=""9780091935580""",0,3.99,Vermilion,Paperback,346,2012,2012,,2023/02/19,to-read,to-read (#165),to-read,,,,0,0
150129,Dreams of a Final Theory: The Scientist's Search for the Ultimate Laws of Nature,Steven Weinberg,"Weinberg, Steven",,"=""0679744088""","=""9780679744085""",0,4.08,Vintage,Paperback,340,1994,1987,,2023/02/19,to-read,to-read (#164),to-read,,,,0,0
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",0,4.07,Currency,Hardcover,260,2014,2011,,2023/02/16,to-read,to-read (#163),to-read,,,,0,0
60965426,The Creative Act: A Way of Being,Rick Rubin,"Rubin, Rick",,"=""0593652886""","=""9780593652886""",0,4.19,Penguin Press,Hardcover,406,2023,2023,,2023/01/25,currently-reading,currently-reading (#2),currently-reading,,,,1,0
407999,Competitive Strategy: Techniques for Analyzing Industries and Competitors,Michael E. Porter,"Porter, Michael E.",,"=""0684841487""","=""9780684841489""",0,4.16,Free Press,Hardcover,397,1998,1980,,2023/01/30,to-read,to-read (#162),to-read,,,,0,0
51174256,The Immortality Key: Uncovering the Secret History of the Religion with No Name,Brian C. Muraresku,"Muraresku, Brian C.",,"=""1250207142""","=""9781250207142""",5,4.28,St. Martin's Press,Hardcover,352,2020,2020,2023/01/21,2022/12/29,,,read,"This book changed my entire view of life, history, identity and everything around me.<br/><br/>I listened to the audible at 0.75x and had to relisten to several chapters while making my way through, taking notes, and sharing my excitement of things I learnt with my friends and family.<br/><br/>I plan to organize my notes, conduct some follow-up research and do an in-depth analysis of my thoughts and the impact these learnings had on my life.",,,1,0
54759716,The New Great Depression: Winners and Losers in a Post-Pandemic World,James Rickards,"Rickards, James",,"=""0593330277""","=""9780593330272""",0,3.52,Portfolio,Hardcover,208,2021,2021,,2023/01/15,to-read,to-read (#161),to-read,,,,0,0
62871661,"The Tangle of Science: Reliability Beyond Method, Rigour, and Objectivity",Nancy Cartwright,"Cartwright, Nancy","Jeremy Hardie, Eleonora Montuschi, Matthew Soleiman, Ann C. Thresher","=""0198866348""","=""9780198866343""",0,0.0,Oxford University Press,Hardcover,272,2023,,,2023/01/15,to-read,to-read (#160),to-read,,,,0,0
56922687,These Precious Days: Essays,Ann Patchett,"Patchett, Ann",,"=""0063092786""","=""9780063092785""",0,4.45,Harper,Hardcover,320,2021,2021,,2023/01/07,to-read,to-read (#159),to-read,,,,0,0
30240076,"Designing Your Life: How to Build a Well-Lived, Joyful Life",Bill Burnett,"Burnett, Bill",Dave Evans,"=""""","=""""",0,3.90,Knopf,Kindle Edition,274,2016,2016,,2023/01/03,to-read,to-read (#158),to-read,,,,0,0
43352954,This is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",0,3.95,Saga Press,Kindle Edition,209,2019,2019,,2023/01/01,to-read,to-read (#157),to-read,,,,0,0
41160292,Exhalation,Ted Chiang,"Chiang, Ted",,"=""""","=""""",0,4.28,Knopf,Kindle Edition,368,2019,2019,,2023/01/01,to-read,to-read (#156),to-read,,,,0,0
48749235,Story of Your Life,Ted Chiang,"Chiang, Ted",,"=""""","=""""",0,4.47,,ebook,46,,1998,,2023/01/01,to-read,to-read (#155),to-read,,,,0,0
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""""",0,3.90,Harper,Paperback,212,2016,2016,,2022/12/31,to-read,to-read (#154),to-read,,,,0,0
58375739,Will,Will Smith,"Smith, Will",Mark Manson,"=""1984877925""","=""9781984877925""",0,4.27,Penguin Press,Hardcover,418,2021,2021,,2022/12/31,to-read,to-read (#153),to-read,,,,0,0
23848190,Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,"Willink, Jocko",Leif Babin,"=""1250067057""","=""9781250067050""",0,4.25,St. Martin's Press,Hardcover,320,2015,2015,,2022/12/26,to-read,to-read (#152),to-read,,,,0,0
38714388,The Dichotomy of Leadership: Balancing the Challenges of Extreme Ownership to Lead and Win,Jocko Willink,"Willink, Jocko",Leif Babin,"=""1250195780""","=""9781250195784""",0,4.39,St. Martin's Press,ebook,320,2018,,,2022/12/26,to-read,to-read (#151),to-read,,,,0,0
26530386,"The Vital Question: Energy, Evolution, and the Origins of Complex Life",Nick Lane,"Lane, Nick",,"=""0393352978""","=""9780393352979""",0,4.18,W. W. Norton & Company,Paperback,368,2016,2015,,2022/12/25,to-read,to-read (#150),to-read,,,,0,0
68005389,The White Pill: A Tale of Good and Evil,Michael Malice,"Malice, Michael",,"=""""","=""""",0,4.53,,Kindle Edition,371,2022,2022,,2022/12/21,to-read,to-read (#149),to-read,,,,0,0
368632,The Sacred Mushroom and the Cross,John Marco Allegro,"Allegro, John Marco",,"=""0340128755""","=""9780340128756""",0,3.73,Hodder & Stoughton Ltd (London),Paperback,381,1970,1970,,2022/12/18,to-read,to-read (#148),to-read,,,,0,0
43672407,"Free, Fair, and Alive: The Insurgent Power of the Commons",David Bollier,"Bollier, David",Silke Helfrich,"=""0865719217""","=""9780865719217""",0,4.46,New Society Publishers,Paperback,448,2019,,,2022/12/08,to-read,to-read (#147),to-read,,,,0,0
26114545,"Too Like the Lightning (Terra Ignota, #1)",Ada Palmer,"Palmer, Ada",,"=""0765378000""","=""9780765378002""",0,3.81,Tor Books,Hardcover,432,2016,2016,,2022/12/08,to-read,to-read (#146),to-read,,,,0,0
612188,"Memories, Dreams, Reflections",C.G. Jung,"Jung, C.G.","Clara Winston, Richard Winston, Aniela Jaffé","=""0679723951""","=""9780679723950""",0,4.15,Vintage,Paperback,430,1989,1961,,2022/12/01,to-read,to-read (#145),to-read,,,,0,0
58009109,The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,"Mallaby, Sebastian",,"=""052555999X""","=""9780525559993""",4,4.44,Penguin Press,Hardcover,496,2022,2022,2022/10/23,2022/09/03,,,read,"Parts of the books are timeless while others feel outdated before the end of the year the book was published in. Parts of the book were inspirational, while others felt very “echo chambery” if you spent some time in the Bay-Area. Parts of the book felt like an action movie, while others felt like a monotone teacher giving a history lesson. Overall, if you’re interested in the history, with some specific anecdotes, of how Venture Capital came to be, I’d recommend this book. If your goal is to understand what’s happening in the world today, podcasts similar to “All-In” do a much better job.<br/><br/>— The notes below were raw & unedited —<br/><br/>Coopetition - By far, my favorite concept from the book was the idea of coopeition: competition & cooperation. The whole concept where “an engineer could ask a colleague from another startup for advice on a problem; no culture of secrecy inhibited cooperation” is exactly why Silicon Valley lost its luster, and why I believe the crypto industry will prosper. The fact that “a small number of tight relationships makes for less idea sharing and innovation than a large number of loose relationships” is exactly the transparent, digital world we live in and why I’m so excited to be working from home, while having the privilege of traveling to conferences in this day and age.<br/><br/>Fairchild Semiconductors - This company, founded in 1957, was basically the birth of Silicon Valley. The original founders, fairchildren, were literally writing the book that is so evident to startups today. Realizing that building a business is more than just about building, but about management. Knowing that raising money is even an option, wasn’t obvious back then. It’s crazy how these individuals were literally trying to figure things out on the fly when no playbook existed. The investment history and the number of hands it waved through was too many for me to remember.<br/><br/>Ycombinator - Paul Graham never set out to build out combinator but it kind of happened by accident and he went with the flow. In its early days, him and the other partners worked with the founders very closely, but recently it’s just become a pipeline of companies and lost its charm (in my opinion).<br/><br/>John Doerr - This is a name that I believe most people vaguely recognize, but the young generation (young Millennials or Gen Z’s)  like myself, won’t necessarily know what to attribute his work. Kleiner Perkins, chair by John, which is just a name I’ve heard of but no nothing about was once the Sequoia of today, having been early investors in Netscape, Cisco, Amazon, Google and several others. It was the gold standard but eventually fell behind. John Doerr supposedly bought 13% of Amazon for $8MM!!! He was also the one who introduced Eric Schmidt to Sergei and Larry. John has also been investing in Climate startups for over 15 years, but it’s fair to say he was at least a decade too early. He’s had his run, and is still around advising, so it was cool to learn about him. One other thing John and I also have in common is that “The number of different things about which John Doerr has said, this is the greatest thing ever, is a big number,” a rival investor noted about him and my friends say about me.<br/><br/>Jaycal & Uber - If you’ve ever listened to a podcast with Jason Calacanis, there’s a “small chance” he may have mentioned his super early investment in Uber. I knew he was an early investor, but I had never known how involved he was in the day-to-day operations, and all the drama that went until Dara took over. I think it gave me more respect for his work there other than having just been a source of money bags.<br/><br/>The PayPal Mafia - The history and politics behind how this came to be is fascinating. It wasn’t just a group of friends starting a big company and then splitting to do their own thing. Between Musk almost being ousted by the company, the negotiations between Musk & Thiel, Thiel convincing Max Levchin to apply his cryptographic work to payments, Nosek being an old friend of Max, it wasn’t just smooth sailing. Lots of pain, lots of negotiation, lots of headwinds, but it worked out!<br/><br/>Sequoia - Though this is a well known house name today, it was founded in 1972 and literally took decades to figure out its playbook before its hockey stick investments started succeeding.<br/><br/>What it means to be a VC? - To many, a VC is just someone who gives money, and there is definitely a time and a place for it. However, for those who really want to make being a VC part of their career, it’s all about taking that midnight call when the founder needs your advice, and flying out the next morning to get shit done.<br/><br/>Google - I learnt that Google innovated the VC industry in a few different ways. Firstly, prior to Google, investors got to own a VERY large part of the company (e.g. sometimes a majority). Google was one of the first companies where Series A only sold about 10% of the company to investors. Furthermore, it was the first company to give the founders “super shares” so they can maintain their decision making powers. Even though I believe this was done in good faith by Sergei and Larry because they had a ton of awesome ideas (electric cars, space elevator, smart fabric, etc…<br/><br/>Cisco - The founders of Cisco were Stanford students who pioneered the idea of LAN and then took it a step further with Cisco. However, these were not professional serial entrepreneurs. They were very eccentric personalities, without ambitions, but just following what they were interested in at the time, and didn’t hold control of the company for long. It’s fascinating how no one heard of what the founders have been up to or what they’re doing today. Lots of controversy here that I won’t get into.<br/><br/>Yahoo - TIL that Yahoo is actually an acronym and not just a fun thing to say. It stands for “Yet Another Hierarchical Officious Oracle”, which makes me feel like there’s a place for it in the crypto space ‘:). I also learnt that it was a simple site maintained by grad students before they really decided to take it seriously.<br/><br/>Softbank - I never knew how important of a role Masayoshi Son played outside of just investing billions in WeWork, I say only half-jokingly :). Apparently he’s been around for a while, and his approach to giving TOO much money has always been the case. He practically forced Yahoo to take his money by saying that he would offer it someone else if they don’t. When something like this happens, you don’t really have an option.<br/><br/>Metcalfe's law - Metcalfe’s is often used to value social networks (e.g. Facebook, Bitcoin) by stating that it hard to lose value once it exceeds a certain threshold. What I didn’t is that the person who coined it also invented the Ethernet!<br/><br/>Alibaba - Apparently Alibaba was a very unsexy investment & opportunity in its early days, and the person (whose name escapes me) who worked for Goldman and convinced them to invested, managed to get half of Alibaba for $5MM! However, the investment was so risky and unusual for the company, they sold out very early on.<br/><br/>Yuri Milner - Yuri Milner is one of my favorite investors, and part of it is probably because he’s Russian, so I do have a bias here. However, he’s an extremely successful investor, that does innovate in various ways, and manages to keep a very low profile relative to other billionaires. From this book, I learnt that he managed to increase his position in Facebook by buying out employees (before the IPO) at a lower price than the investment, which led him to a higher return, and helped Mark Zuckerberg concentrate his power.<br/><br/>UUNet - Apparently this was the first ISP provider in the US that no one knows about.<br/><br/>Tips & Tricks - If you’re a technical founder not trusted by an investor, let them invest the money and bring in the manager they want (assuming you trust the investor). This way you do less work, less management, make it an easier sell and make the investors happy.",,,1,0
35167685,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",,"=""0393355624""","=""9780393355628""",0,4.27,W. W. Norton & Company,Paperback,400,2018,1985,,2022/05/25,currently-reading,currently-reading (#1),currently-reading,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",0,4.37,Beacon Press,Paperback,165,2006,1959,,2022/11/15,to-read,to-read (#144),to-read,,,,0,0
59892281,Proof of Stake: The Making of Ethereum and the Philosophy of Blockchains,Vitalik Buterin,"Buterin, Vitalik",Nathan Schneider,"=""164421248X""","=""9781644212486""",0,3.73,Seven Stories Press,Paperback,384,2022,,,2022/11/06,to-read,to-read (#143),to-read,,,,0,0
1999646,"Effective Executive, The",Peter F. Drucker,"Drucker, Peter F.",,"=""0887306128""","=""9780887306129""",0,4.08,HarperPB,Paperback,192,1993,1966,,2022/11/04,to-read,to-read (#142),to-read,,,,0,0
60643059,The Network State: How To Start a New Country,Balaji S. Srinivasan,"Srinivasan, Balaji S.",,"=""""","=""""",0,4.01,Amazon Kindle,Kindle Edition,262,2022,,,2022/10/23,to-read,to-read (#141),to-read,,,,0,0
